,variabile slack,kernel,Sensibility %,accuracy
0,1,poly,0.0,66.25934707277038
1,201,poly,37.67567567567568,77.51231077877074
2,401,poly,42.0,78.38774393580157
3,601,poly,47.2972972972973,79.75560824366222
4,801,poly,50.86486486486487,80.3757067298924
5,1001,poly,53.4054054054054,80.8863760714937
6,1201,poly,56.10810810810811,81.54295093926682
7,1401,poly,58.05405405405405,82.07185847163962
8,1601,poly,60.97297297297297,82.78314791172716
9,1801,poly,62.21621621621621,83.05672077329929
10,2001,poly,63.027027027027025,83.22086449024256
11,2201,poly,64.10810810810811,83.3485318256429
12,2401,poly,64.48648648648648,83.38500820718585
13,2601,poly,65.29729729729729,83.53091373335765
14,2801,poly,66.0,83.60386649644356
15,3001,poly,66.21621621621621,83.65858106875798
16,3201,poly,66.54054054054053,83.60386649644356
17,3401,poly,66.86486486486487,83.7132956410724
18,3601,poly,66.97297297297298,83.73153383184389
19,3801,poly,67.08108108108108,83.76801021338683
20,4001,poly,67.35135135135135,83.84096297647274
21,4201,poly,67.51351351351352,83.87743935801568
22,4401,poly,67.78378378378378,83.93215393033012
23,4601,poly,67.89189189189189,83.96863031187306
24,4801,poly,68.21621621621622,84.09629764727339
25,5001,poly,68.43243243243244,84.1692504103593
26,5201,poly,68.5945945945946,84.27867955498814
27,5401,poly,68.7027027027027,84.29691774575963
28,5601,poly,68.91891891891892,84.36987050884552
29,5801,poly,68.91891891891892,84.36987050884552
30,6001,poly,68.97297297297297,84.38810869961699
31,6201,poly,69.08108108108108,84.42458508115995
32,6401,poly,69.2972972972973,84.49753784424585
33,6601,poly,69.35135135135135,84.5340142257888
34,6801,poly,69.35135135135135,84.47929965347437
35,7001,poly,69.51351351351352,84.5340142257888
36,7201,poly,69.62162162162161,84.58872879810323
37,7401,poly,69.89189189189189,84.66168156118913
38,7601,poly,69.89189189189189,84.67991975196061
39,7801,poly,70.0,84.69815794273208
40,8001,poly,70.0,84.71639613350355
41,8201,poly,70.0,84.69815794273208
42,8401,poly,70.0,84.67991975196061
43,8601,poly,70.16216216216216,84.71639613350355
44,8801,poly,70.21621621621622,84.73463432427502
45,9001,poly,70.21621621621622,84.7528725150465
46,9201,poly,70.27027027027027,84.78934889658946
47,9401,poly,70.27027027027027,84.78934889658946
48,9601,poly,70.37837837837839,84.8258252781324
49,9801,poly,70.48648648648648,84.88053985044684
50,5,poly,0.0,66.25934707277038
51,10,poly,0.0,66.25934707277038
52,20,poly,5.621621621621622,68.15611891300382
53,1,rbf,81.13513513513514,76.47273390479664
